word,count,word size
any,1344,words having 3 or less letters
my,1318,words having 3 or less letters
now,1314,words having 3 or less letters
such,1303,words having 4 or more letters
like,1292,words having 4 or more letters
our,1252,words having 3 or less letters
over,1236,words having 4 or more letters
man,1207,words having 3 or less letters
me,1181,words having 3 or less letters
even,1170,words having 4 or more letters
most,1159,words having 4 or more letters
made,1125,words having 4 or more letters
also,1069,words having 4 or more letters
after,1069,words having 4 or more letters
did,1044,words having 3 or less letters
many,1030,words having 4 or more letters
before,1016,words having 4 or more letters
must,1013,words having 4 or more letters
af,996,words having 3 or less letters
through,971,words having 4 or more letters
back,966,words having 4 or more letters
years,950,words having 4 or more letters
much,937,words having 4 or more letters
where,937,words having 4 or more letters
your,923,words having 4 or more letters
way,908,words having 3 or less letters
well,897,words having 4 or more letters
down,895,words having 4 or more letters
should,888,words having 4 or more letters
because,883,words having 4 or more letters
each,877,words having 4 or more letters
just,872,words having 4 or more letters
those,850,words having 4 or more letters
people,847,words having 4 or more letters
mr.,844,words having 3 or less letters
how,834,words having 3 or less letters
too,834,words having 3 or less letters
little,831,words having 4 or more letters
state,807,words having 4 or more letters
good,806,words having 4 or more letters
very,796,words having 4 or more letters
make,794,words having 4 or more letters
world,787,words having 4 or more letters
still,782,words having 4 or more letters
see,772,words having 3 or less letters
own,772,words having 3 or less letters
men,763,words having 3 or less letters
work,762,words having 4 or more letters
long,752,words having 4 or more letters
here,750,words having 4 or more letters
get,749,words having 3 or less letters
both,730,words having 4 or more letters
between,730,words having 4 or more letters
life,715,words having 4 or more letters
being,712,words having 4 or more letters
under,707,words having 4 or more letters
never,697,words having 4 or more letters
day,687,words having 3 or less letters
same,686,words having 4 or more letters
another,684,words having 4 or more letters
know,683,words having 4 or more letters
while,680,words having 4 or more letters
last,676,words having 4 or more letters
us,675,words having 3 or less letters
might,672,words having 4 or more letters
great,665,words having 4 or more letters
old,661,words having 3 or less letters
year,658,words having 4 or more letters
off,639,words having 3 or less letters
come,630,words having 4 or more letters
since,628,words having 4 or more letters
against,627,words having 4 or more letters
go,626,words having 3 or less letters
came,622,words having 4 or more letters
right,613,words having 4 or more letters
used,611,words having 4 or more letters
three,610,words having 4 or more letters
take,610,words having 4 or more letters
states,603,words having 4 or more letters
himself,603,words having 4 or more letters
few,601,words having 3 or less letters
use,591,words having 3 or less letters
house,591,words having 4 or more letters
during,585,words having 4 or more letters
without,583,words having 4 or more letters
again,577,words having 4 or more letters
place,570,words having 4 or more letters
american,569,words having 4 or more letters
around,562,words having 4 or more letters
however,552,words having 4 or more letters
home,547,words having 4 or more letters
small,542,words having 4 or more letters
found,536,words having 4 or more letters
mrs.,534,words having 4 or more letters
1,527,words having 3 or less letters
thought,517,words having 4 or more letters
went,507,words having 4 or more letters
say,504,words having 3 or less letters
part,500,words having 4 or more letters
once,499,words having 4 or more letters
general,498,words having 4 or more letters
high,497,words having 4 or more letters
upon,495,words having 4 or more letters
school,493,words having 4 or more letters
every,491,words having 4 or more letters
don't,489,words having 4 or more letters
does,485,words having 4 or more letters
united,482,words having 4 or more letters
got,482,words having 3 or less letters
left,480,words having 4 or more letters
number,472,words having 4 or more letters
course,465,words having 4 or more letters
war,464,words having 3 or less letters
until,461,words having 4 or more letters
always,458,words having 4 or more letters
away,456,words having 4 or more letters
something,450,words having 4 or more letters
fact,447,words having 4 or more letters
2,446,words having 3 or less letters
water,445,words having 4 or more letters
though,440,words having 4 or more letters
public,438,words having 4 or more letters
put,437,words having 3 or less letters
less,437,words having 4 or more letters
think,433,words having 4 or more letters
almost,432,words having 4 or more letters
hand,431,words having 4 or more letters
enough,430,words having 4 or more letters
took,426,words having 4 or more letters
far,426,words having 3 or less letters
head,424,words having 4 or more letters
yet,419,words having 3 or less letters
government,418,words having 4 or more letters
system,416,words having 4 or more letters
better,414,words having 4 or more letters
set,414,words having 3 or less letters
told,413,words having 4 or more letters
nothing,411,words having 4 or more letters
night,411,words having 4 or more letters
end,409,words having 3 or less letters
why,404,words having 3 or less letters
didn't,401,words having 4 or more letters
called,401,words having 4 or more letters
eyes,401,words having 4 or more letters
find,400,words having 4 or more letters
look,399,words having 4 or more letters
going,399,words having 4 or more letters
asked,398,words having 4 or more letters
later,397,words having 4 or more letters
point,395,words having 4 or more letters
knew,395,words having 4 or more letters
program,394,words having 4 or more letters
next,394,words having 4 or more letters
city,393,words having 4 or more letters
business,393,words having 4 or more letters
group,390,words having 4 or more letters
give,389,words having 4 or more letters
toward,386,words having 4 or more letters
young,385,words having 4 or more letters
let,384,words having 3 or less letters
days,384,words having 4 or more letters
room,384,words having 4 or more letters
president,382,words having 4 or more letters
side,381,words having 4 or more letters
social,380,words having 4 or more letters
several,377,words having 4 or more letters
present,377,words having 4 or more letters
given,377,words having 4 or more letters
order,376,words having 4 or more letters
national,375,words having 4 or more letters
possible,374,words having 4 or more letters
second,373,words having 4 or more letters
rather,373,words having 4 or more letters
face,371,words having 4 or more letters
per,371,words having 3 or less letters
form,370,words having 4 or more letters
among,370,words having 4 or more letters
